A582Ol3G, 01.04.2023 16:00, Crystal Palace, Leicester, 29, Scheduled, 0, 0, X
ABwGIPV1, 11.02.2023 17:00, West Ham, Chelsea, 23, Scheduled, 0, 0, X
AiasaJHE, 31.12.2022 17:00, Brighton, Arsenal, 18, Scheduled, 0, 0, X
CAKtamhe, 13.05.2023 16:00, Leicester, Liverpool, 36, Scheduled, 0, 0, X
CGeTRT8F, 11.02.2023 17:00, Fulham, Nottingham, 23, Scheduled, 0, 0, X
CIIICroL, 18.10.2022 20:30, Brighton, Nottingham, 12, Scheduled, 0, 0, X
CIvlSNp8, 23.10.2022 15:00, Aston Villa, Brentford, 13, Scheduled, 0, 0, X
CKVGnkSi, 12.11.2022 17:00, Brighton, Aston Villa, 16, Scheduled, 0, 0, X
COomeebj, 10.10.2022 21:00, Nottingham, Aston Villa, 10, Scheduled, 0, 0, X
CSDCeEo3, 06.05.2023 16:00, Brighton, Everton, 35, Scheduled, 0, 0, X
CU4liafH, 29.04.2023 16:00, Leicester, Everton, 34, Scheduled, 0, 0, X
CUrJyKfU, 26.04.2023 21:00, Manchester City, Arsenal, 33, Scheduled, 0, 0, X
CWeHBQy1, 20.05.2023 16:00, Tottenham, Brentford, 37, Scheduled, 0, 0, X
CbftzCrn, 05.11.2022 17:00, Chelsea, Arsenal, 15, Scheduled, 0, 0, X
Cf4UID8m, 14.01.2023 17:00, Chelsea, Crystal Palace, 20, Scheduled, 0, 0, X
CfKhFjP9, 04.02.2023 17:00, Chelsea, Fulham, 22, Scheduled, 0, 0, X
ChFpY4Vl, 18.02.2023 17:00, Newcastle, Liverpool, 24, Scheduled, 0, 0, X
CjUtbhkB, 11.03.2023 17:00, Leicester, Chelsea, 27, Scheduled, 0, 0, X
Cjhemjgq, 06.05.2023 16:00, Nottingham, Southampton, 35, Scheduled, 0, 0, X
ClR1sOQh, 25.04.2023 20:45, Tottenham, Manchester Utd, 33, Scheduled, 0, 0, X
CpyjQPjf, 28.05.2023 17:00, Everton, Bournemouth, 38, Scheduled, 0, 0, X
Ctkp9TLu, 20.08.2022 18:30, Bournemouth, Arsenal, 3, Scheduled, 0, 0, X
CznTSOBa, 22.04.2023 16:00, Fulham, Leeds, 32, Scheduled, 0, 0, X
E1N7x54p, 12.11.2022 17:00, West Ham, Leicester, 16, Scheduled, 0, 0, X
E7GbAX21, 31.08.2022 21:00, Liverpool, Newcastle, 5, Scheduled, 0, 0, X
E9eFWRDQ, 28.05.2023 17:00, Brentford, Manchester City, 38, Scheduled, 0, 0, X
E97RUbpo, 17.09.2022 13:30, Wolves, Manchester City, 8, Scheduled, 0, 0, X
ED9Xy8XF, 08.04.2023 16:00, Leeds, Crystal Palace, 30, Scheduled, 0, 0, X
EDoRmQmP, 25.04.2023 20:45, Everton, Newcastle, 33, Scheduled, 0, 0, X
EFxf8iV8, 13.05.2023 16:00, Aston Villa, Tottenham, 36, Scheduled, 0, 0, X
